Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
3	G Convertino, EH Chi, BV Hanrahan, NCY Kong, G Bouchard, ...	System and method for supporting targeted sharing and early curation of information	2013	US Patent 8			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4120290091054728844,16749014136290350990	16	3/24/2017	Patent			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:W7OEmFMy1HYC	380	0	743	743	3
54	BV Hanrahan, G Convertino, L Nelson	Modeling problem difficulty and expertise in stackoverflow	2012	Proceedings of the ACM 2012 conference on Computer Supported Cooperative ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18323088875524662243	2	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:IjCSPb-OGe4C	0	0	0	0	54
14	N Kong, B Hanrahan, T Weksteen, G Convertino, EH Chi	VisualWikiCurator: human and machine intelligencefor organizing wiki content	2011	Proceedings of the 16th international conference on Intelligent user ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3697963576240999929	4	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:M3ejUd6NZC8C	0	0	0	0	14
9	B Hanrahan, S Ahuja, M Perez-Quinones, A Kavanaugh	Evaluating software for communities using social affordances	2011	CHI'11 Extended Abstracts on Human Factors in Computing Systems			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3862080588564802970	5	3/24/2017	Abstract			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:qxL8FJ1GzNcC	0	0	1621	1626	9
7	B Hanrahan, G Bouchard, G Convertino, T Weksteen, N Kong, ...	Mail2wiki: low-cost sharing and early curation from email to wikis	2011	Proceedings of the 5th International Conference on Communities and ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11176829387672646576	8	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:aqlVkmm33-oC	0	0	0	0	7
4	BV Hanrahan, T Weksteen, N Kong, G Convertino, G Bouchard, ...	Mail2Wiki: posting and curating Wiki content from email	2011	Proceedings of the 16th international conference on Intelligent user ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6396354690213884086	11	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:zYLM7Y9cAGgC	0	0	0	0	4
2	N Kong, G Convertino, B Hanrahan, E Chi	VisualWikiCurator: a corporate Wiki plugin	2011	CHI'11 Extended Abstracts on Human Factors in Computing Systems			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14388058106688078299	19	3/24/2017	Abstract			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:Tyk-4Ss8FVUC	0	0	1549	1554	2
6	M Tungare, B Hanrahan, R Quintana-Castillo, M Stewart, ...	Collaborative human computation as a means of information management	2010	Proceedings of the International Workshop on Collaborative Information Seeking			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8131629817325662495	9	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:4DMP91E08xMC	0	0	0	0	6
1	G Convertino, B Hanrahan, N Kong, T Weksteen, G Bouchard, ...	Mail2Wiki: Low-Cost Sharing and Organization on Wikis	2010	Workshop on Collective Intelligence in Organizations: Tools and Studies and ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12657984536453153626	23	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:mVmsd5A6BfQC	0	0	0	0	1
1	B Hanrahan, R Quintana-Castillo, M Stewart, MA Pérez-Quinones	WikiAtoms: Contributions to Wikis as Atomic Units	2010	Available online a t: https://www. parc	com/content/events/attachments ...		https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2959120986030410369	24	3/24/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:Wp0gIr-vW9MC	0	0	0	0	1
0	R Quintana Castillo, B Hanrahan, M Pérez-Quiñones	Mobilizar: Capturing User Behavior with Mobile Digital Diaries	2010					32	3/24/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:QIV2ME_5wuYC	0	0	0	0	0
0	M Tungare, MA Pérez-quiñones, PS Pyla, B Hanrahan, U Murthy, ...	Sustainability of Bits, not just Atoms	2010					33	3/24/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tp5CvKgAAAAJ&pagesize=100&citation_for_view=Tp5CvKgAAAAJ:9ZlFYXVOiuMC	0	0	0	0	0
