Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
47	"XD Wu, CH Chu, YF Wang, YL Yan"	Concurrent design of cellular manufacturing systems: A genetic algorithm approach	2006	International Journal of Production Research			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11886787176013240761	26	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:t6usbXjVLHcC	44	6	1217	1241	47
45	"Y Zhang, CH Chu, Y Chen, H Zha, X Ji"	Splice site prediction using support vector machines with a Bayes kernel	2006	Expert Systems with Applications			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11994985409804920510	27	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:MXK_kJrjxJIC	30	1	73	81	45
42	"F Li, B Luo, P Liu, D Lee, P Mitra, WC Lee, CH Chu"	In-broker access control: Towards efficient end-to-end performance of information brokerage systems	2006	"Sensor Networks, Ubiquitous, and Trustworthy Computing, 2006"	IEEE ...		https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16209983725561861532	29	3/9/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:3fE2CSJIrl8C	0	0	0	0	42
27	"Y Chen, T Mullen, CH Chu"	An in-depth analysis of information markets with aggregate uncertainty	2006	Electronic Commerce Research			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8252080923056382260	34	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:kNdYIx-mwKoC	6	2	201	221	27
13	"Q Gu, K Bai, H Wang, P Liu, CH Chu"	Modeling of pollution in p2p file sharing systems	2006	"Consumer Communications and Networking Conference, 2006. CCNC 2006. 3rd IEEE ..."			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18214444060246202315	59	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:ZeXyd9-uunAC	0	0	0	0	13
11	"Y Chen, CH Chu, T Mullen"	Predicting uncertain outcomes using information markets: trader behavior and information aggregation	2006	New Mathematics and Natural Computation			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7215889004829246640	67	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:hC7cP41nSMkC	2	3	281	297	11
6	"CH Chu, HH Lin"	Factors influencing the adoption of wireless technologies on campus	2006	International Journal of Mobile Communications			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8422011781137124777	89	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:isC4tDSrTZIC	4	3	291	308	6
5	"Y Zhang, H Zha, CH Chu, X Ji"	Towards inferring protein interactions: challenges and solutions	2006	EURASIP Journal on Advances in Signal Processing			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11707787957015252501	94	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:maZDTaKrznsC	2006	1	37349	37349	5
3	"X Wu, Y Wang, CH Chu, F Liu, P Chen, D Yue"	A close look at privacy preserving data mining methods	2006	PACIS 2006 Proceedings			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7381832473304712424	110	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:yD5IFk8b50cC	32	0	0	0	3
2	"CC Tsai, CH Chu, X Wu"	An evolutionary fuzzy multi-objective approach to cell formation	2006	Asia-Pacific Conference on Simulated Evolution and Learning			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17271906734448347219	120	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:3s1wT3WcHBgC	0	0	377	383	2
